Tarih,Saat,Saat_Tam,Dakika,Cagri_Kat,Asansor_Kat,Bekleme_Saniye,Toplam_Yolcu,Asansor_Durum
2026-01-17,05:45:00,5,45,1,0,0,0,Idle
2026-01-17,05:45:00,5,45,2,1,0,0,DoorOpening
2026-01-17,05:45:00,5,45,3,1,0,0,WaitingForPassenger
2026-01-17,05:45:00,5,45,1,0,4,0,PickedUp
2026-01-17,05:45:00,5,45,2,1,9,1,PickedUp
2026-01-17,05:45:00,5,45,3,1,16,2,PickedUp
2026-01-17,08:00:00,8,0,3,0,0,0,Idle
2026-01-17,08:00:00,8,0,4,1,0,0,MovingUp
2026-01-17,08:00:00,8,0,3,0,5,0,PickedUp
2026-01-17,08:00:00,8,0,4,1,11,1,PickedUp
2026-01-17,04:30:00,4,30,2,5,0,2,DoorOpening
2026-01-17,04:30:00,4,30,2,5,10,1,PickedUp
2026-01-17,05:30:00,5,30,3,0,0,2,WaitingForPassenger
2026-01-17,05:30:00,5,30,3,0,12,0,PickedUp
2026-01-17,08:00:00,8,0,2,0,0,0,Idle
2026-01-17,08:00:00,8,0,2,1,0,0,MovingUp
2026-01-17,08:00:00,8,0,5,2,0,0,WaitingForPassenger
2026-01-17,08:00:00,8,0,3,2,0,0,WaitingForPassenger
2026-01-17,08:00:00,8,0,2,0,4,0,PickedUp
2026-01-17,08:00:00,8,0,2,1,8,1,PickedUp
2026-01-17,08:00:00,8,0,3,2,14,2,PickedUp
2026-01-17,08:00:00,8,0,5,2,30,2,PickedUp
2026-01-17,08:00:00,8,0,7,1,0,0,Idle
2026-01-17,08:00:00,8,0,5,2,0,0,MovingUp
2026-01-17,08:00:00,8,0,7,1,8,0,PickedUp
2026-01-17,08:00:00,8,0,5,2,16,1,PickedUp
2026-01-17,08:00:00,8,0,5,0,0,0,Idle
2026-01-17,08:00:00,8,0,3,0,0,0,MovingUp
2026-01-17,08:00:00,8,0,5,0,8,0,PickedUp
2026-01-17,08:00:00,8,0,3,0,31,0,PickedUp
2026-01-17,08:00:00,8,0,5,0,0,0,Idle
2026-01-17,08:00:00,8,0,3,0,0,0,MovingUp
2026-01-17,08:00:00,8,0,5,0,7,0,PickedUp
2026-01-17,08:00:00,8,0,3,0,25,0,PickedUp
2026-01-17,09:14:00,9,14,4,0,0,0,Idle
2026-01-17,09:14:00,9,14,3,0,0,0,MovingUp
2026-01-17,09:14:00,9,14,4,0,6,0,PickedUp
2026-01-17,09:14:00,9,14,3,0,27,0,PickedUp
2026-01-17,14:21:00,14,21,2,0,0,0,Idle
2026-01-17,14:21:00,14,21,2,0,4,0,PickedUp
2026-01-17,14:21:00,14,21,5,2,0,1,WaitingForPassenger
2026-01-17,14:21:00,14,21,5,2,6,1,PickedUp
